Restaurant_id,Restaurant_Name,Country_name,City name,User_rating_votes,User_aggregate_rating,Cuisines
130567,Souza Lobo,India,Goa,918,4.3,"North Indian, Continental, Goan"
16512168,Ritz Classic,India,Goa,840,4.5,"Goan, Seafood, North Indian"
130021,Infantaria,India,Goa,1221,3.7,"Italian, Continental, Goan"
130275,Burger Factory,India,Goa,415,4.8,Fast Food
130888,The Black Sheep Bistro,India,Goa,681,4.7,"Seafood, Continental, European, German"
130409,Baba Au Rhum,India,Goa,280,4.5,"Italian, French, Cafe"
130332,Club Cubana,India,Goa,646,4.4,Finger Food
16519268,La Plage,India,Goa,302,4.6,"Seafood, French"
16512186,St. Anthony's,India,Goa,911,3.8,"North Indian, Chinese, Continental, Goan, Seafood"
130535,The Fisherman's Wharf,India,Goa,555,4.6,"Continental, Goan, Seafood, North Indian"
130008,Fisherman's Cove,India,Goa,601,3.8,"Goan, North Indian, Chinese"
16519267,Calamari,India,Goa,414,4.2,"Goan, Seafood, Chinese"
16541849,The Fisherman's Wharf,India,Goa,323,4.4,"Continental, Goan, Seafood, North Indian"
16519231,Cafe Al Fresco by Cantina Bodega,India,Goa,265,4.3,Cafe
130699,LPK Waterfront,India,Goa,516,3.7,Finger Food
Restaurant_id,Restaurant_Name,Country_name,City name,User_rating_votes,User_aggregate_rating,Cuisines
1402050,Mocha,India,Indore,341,4.0,"Cafe, Continental, Italian, Street Food"
18395137,Just My Bakes,India,Indore,69,3.9,"Cafe, Bakery"
1401756,KYRO,India,Indore,238,3.7,"North Indian, Chinese, Continental, Mediterranean, Asian"
1400186,Square - Sayaji Hotel,India,Indore,334,4.3,"North Indian, Chinese, Italian"
18254231,Oye24,India,Indore,152,4.1,"North Indian, Chinese, South Indian"
1400555,Cafe Terazza,India,Indore,502,3.9,"Cafe, Italian, Mexican, Chinese"
1400460,Cafe Palette,India,Indore,214,3.8,"Cafe, Lebanese, Italian"
1400169,The Creative Kitchen - Radisson Blu Hotel,India,Indore,209,3.8,"North Indian, Continental, Mexican, Italian"
1402089,Waffle House,India,Indore,171,4.3,"Cafe, Fast Food"
1400544,JAL - A Jungle Restaurant,India,Indore,100,4.1,"North Indian, Chinese"
1400121,10 Downing Street,India,Indore,413,4.0,"North Indian, Chinese"
1400466,Mangosteen Cafe,India,Indore,430,3.9,"Cafe, Fast Food, Italian, Mexican"
1401857,The Yellow Chilli,India,Indore,181,4.1,"North Indian, Mughlai, Seafood"
1401548,Vidorra,India,Indore,404,4.0,"North Indian, Chinese"
1401934,Mama Loca,India,Indore,304,4.2,"Greek, Lebanese"
1400056,Nafees Restaurant,India,Indore,496,4.0,"North Indian, Mughlai"
1402028,Cakesmith's Alley,India,Indore,87,4.3,"Bakery, Cafe, Fast Food"
1402335,Freito,India,Indore,26,3.1,"Mexican, Italian"
1401948,Cafe Yolo,India,Indore,69,3.8,"Cafe, Fast Food"
1402314,Hobnob Gourmet Cafébar,India,Indore,37,4.1,"Italian, Continental"
Restaurant_id,Restaurant_Name,Country_name,City name,User_rating_votes,User_aggregate_rating,Cuisines
1402050,Mocha,India,Indore,341,4.0,"Cafe, Continental, Italian, Street Food"
18395137,Just My Bakes,India,Indore,69,3.9,"Cafe, Bakery"
1401756,KYRO,India,Indore,238,3.7,"North Indian, Chinese, Continental, Mediterranean, Asian"
1400186,Square - Sayaji Hotel,India,Indore,334,4.3,"North Indian, Chinese, Italian"
18254231,Oye24,India,Indore,152,4.1,"North Indian, Chinese, South Indian"
1400555,Cafe Terazza,India,Indore,502,3.9,"Cafe, Italian, Mexican, Chinese"
1400460,Cafe Palette,India,Indore,214,3.8,"Cafe, Lebanese, Italian"
1400169,The Creative Kitchen - Radisson Blu Hotel,India,Indore,209,3.8,"North Indian, Continental, Mexican, Italian"
1402089,Waffle House,India,Indore,171,4.3,"Cafe, Fast Food"
1400544,JAL - A Jungle Restaurant,India,Indore,100,4.1,"North Indian, Chinese"
1400121,10 Downing Street,India,Indore,413,4.0,"North Indian, Chinese"
1400466,Mangosteen Cafe,India,Indore,430,3.9,"Cafe, Fast Food, Italian, Mexican"
1401857,The Yellow Chilli,India,Indore,181,4.1,"North Indian, Mughlai, Seafood"
1401548,Vidorra,India,Indore,404,4.0,"North Indian, Chinese"
1401934,Mama Loca,India,Indore,304,4.2,"Greek, Lebanese"
1400056,Nafees Restaurant,India,Indore,496,4.0,"North Indian, Mughlai"
1402028,Cakesmith's Alley,India,Indore,87,4.3,"Bakery, Cafe, Fast Food"
1402335,Freito,India,Indore,26,3.1,"Mexican, Italian"
1401948,Cafe Yolo,India,Indore,69,3.8,"Cafe, Fast Food"
1402314,Hobnob Gourmet Cafébar,India,Indore,37,4.1,"Italian, Continental"
Restaurant_id,Restaurant_Name,Country_name,City name,User_rating_votes,User_aggregate_rating,Cuisines
1600067,Al Arabian Express,India,Nashik,162,3.7,Mughlai
1600205,Sadhana Restaurant,India,Nashik,218,3.9,Maharashtrian
1600029,Barbeque Ville,India,Nashik,164,3.8,North Indian
1600280,Spice Route,India,Nashik,91,3.6,"North Indian, Maharashtrian"
